Ders Kodu,Ders Section,Ders Adı,Hoca,Saat
OPER 202,OPER 202.C,Operasyon Yönetimi,HALUK YENER,Çarşamba 15:40 - 18:30 / Perşembe 18:40 - 19:30
OPER 202,OPER 202.A,Operasyon Yönetimi,NAGİHAN ÇÖMEZ DOLGAN,Perşembe 18:40 - 19:30 / Salı 08:40 - 11:30
OPER 312,OPER 312.A,Tedarik Zinciri Yönetimi,HALUK YENER,Pazartesi 10:40 - 13:30
OPER 312,OPER 312.B,Tedarik Zinciri Yönetimi,ZEYNEP ATA,Perşembe 13:40 - 16:30
OPER 312,OPER 312.A,Tedarik Zinciri Yönetimi,HALUK YENER,Pazartesi 10:40 - 13:30
OPER 312,OPER 312.B,Tedarik Zinciri Yönetimi,ZEYNEP ATA,Perşembe 13:40 - 16:30
OPER 313,OPER 313.A,Gelir Yönetimi,BAHRİYE CESARET,Pazartesi 13:40 - 16:30
OPER 313,OPER 313.A,Gelir Yönetimi,BAHRİYE CESARET,Pazartesi 13:40 - 16:30
OPER 318,OPER 318.A,Perakende Operasyonları,BAHRİYE CESARET,Çarşamba 08:40 - 11:30
OPER 403,OPER 403.A,Bağımsız Araştırma - OPER,CEYDA MADEN EYİUSTA,
PE 101,PE 101.E,Tenis,BARKIN YALÇINKALE,Cuma 18:40 - 20:30
PE 101,PE 101.D,Tenis,BARKIN YALÇINKALE,Cuma 16:40 - 18:30
PE 101,PE 101.B,Tenis,BARKIN YALÇINKALE,Perşembe 15:40 - 17:30
PE 101,PE 101.A,Tenis,BARKIN YALÇINKALE,Salı 15:40 - 17:30
PE 101,PE 101.C,Tenis,BARKIN YALÇINKALE,Perşembe 17:40 - 19:30
PE 102,PE 102.A,Yüzme,LALE MEMDUHA ALPTOĞAN,Cuma 08:40 - 10:30
PE 102,PE 102.B,Yüzme,LALE MEMDUHA ALPTOĞAN,Cuma 10:40 - 12:30
PE 104,PE 104.A,Bilardo I,İLBAY DAĞDELEN,Cuma 14:40 - 16:30
PE 104,PE 104.B,Bilardo I,İLBAY DAĞDELEN,Cuma 16:40 - 18:30
PE 105,PE 105.B,Yelken,GÜRAY ZÜNBÜL,Perşembe 08:40 - 10:30
PE 105,PE 105.D,Yelken,GÜRAY ZÜNBÜL,Cuma 10:40 - 12:30
PE 105,PE 105.C,Yelken,GÜRAY ZÜNBÜL,Cuma 08:40 - 10:30
PE 105,PE 105.A,Yelken,GÜRAY ZÜNBÜL,Salı 08:40 - 10:30
PE 106,PE 106.A,Eskrim I,YİĞİT ALİ DÖRTBUDAK,Perşembe 08:40 - 10:30 / Perşembe 08:40 - 10:30
PE 106,PE 106.B,Eskrim I,YİĞİT ALİ DÖRTBUDAK,Perşembe 10:40 - 12:30 / Perşembe 10:40 - 12:30
PE 107,PE 107.A,Satranç,ERSİN BAYSAN,Perşembe 18:40 - 20:30
PE 107,PE 107.B,Satranç,ERSİN BAYSAN,Perşembe 08:40 - 10:30
PE 107,PE 107.C,Satranç,ERSİN BAYSAN,Perşembe 10:40 - 12:30
PE 112,PE 112.A,Masa Tenisi,KERİM ÖZAY,Salı 18:40 - 20:30
PE 112,PE 112.B,Masa Tenisi,KERİM ÖZAY,Perşembe 18:40 - 20:30
PE 114,PE 114.A,Hakemlik,AYBERK DİLMEN,Perşembe 16:40 - 18:30
PE 116,PE 116.A,Bireysel Savunma,VLADİMİR SELİM KOÇ,Cuma 10:40 - 12:30 / Cuma 10:40 - 12:30
PE 119,PE 119.A,Temel Fitnes Eğitimi,GİZEM NURBAY,Perşembe 08:40 - 10:30
PE 120,PE 120.A,Briç,SÜLEYMAN KOLATA,Salı 16:40 - 18:30
PE 120,PE 120.B,Briç,SÜLEYMAN KOLATA,Salı 18:40 - 20:30
PE 120,PE 120.C,Briç,SÜLEYMAN KOLATA,Cuma 16:40 - 18:30
PE 120,PE 120.D,Briç,SÜLEYMAN KOLATA,Cuma 18:40 - 20:30
PE 121,PE 121.A,Suda Hayat Kurtarma ve İlk Yardım,ŞAHİN ÖZEN,Salı 15:40 - 17:30
PE 123,PE 123.A,Temel Afet Eğitimi ve İlkyardım,BURÇAK TÜRKAY,Cuma 16:40 - 18:30
PHIL 102,PHIL 102.A,Felsefeye Giriş,SİBEL OKTAR THOMAS,Perşembe 08:40 - 11:30
PHIL 104,PHIL 104.A,Doğruluk,SİBEL OKTAR THOMAS,Cuma 08:40 - 11:30
PHIL 210,PHIL 210.A,Bilim Felsefesi,Bilim Felsefesi,Salı 15:40 - 18:30
PHYS 101,PHYS 101.A,Fizik I,PARVIZ ELAHI,Salı 10:40 - 12:30 / Perşembe 10:40 - 12:30
PHYS 101,PHYS 101.B,Fizik I,KAAN GÜVEN,Çarşamba 10:40 - 12:30 / Cuma 10:40 - 12:30
PHYS 101,PHYS 101.C,Fizik I,PARVIZ ELAHI,Çarşamba 14:40 - 16:30 / Cuma 14:40 - 16:30
PHYS 101,PHYS 101.D,Fizik I,KAAN GÜVEN,Salı 10:40 - 12:30 / Perşembe 10:40 - 12:30
PHYS 101,PHYS 101.E,Fizik I,SUEDA SAYLAN,Çarşamba 10:40 - 12:30 / Cuma 10:40 - 12:30
PHYS 101,PHYS 101.F,Fizik I,SUEDA SAYLAN,Çarşamba 14:40 - 16:30 / Cuma 14:40 - 16:30
PHYS 102,PHYS 102.A,Fizik II,TAYLAN AKDOĞAN,Salı 10:40 - 12:30 / Perşembe 10:40 - 12:30
PHYS 102,PHYS 102.B,Fizik II,BARIŞ DEMİRBAY,Çarşamba 10:40 - 12:30 / Cuma 10:40 - 12:30
PHYS 102,PHYS 102.C,Fizik II,BARIŞ DEMİRBAY,Çarşamba 14:40 - 16:30 / Cuma 14:40 - 16:30
PHYS 103,PHYS 103.A,Havacılık için Fizik I,BARIŞ DEMİRBAY,Pazartesi 08:40 - 10:30
PHYS 221,PHYS 221.A,Modern Fiziğe Giriş,KAAN GÜVEN,Salı 12:40 - 14:30 / Çarşamba 12:40 - 14:30
PSY 100,PSY 100.A,Genel Psikoloji,GÜL CANAN ERGİN,Cuma 14:40 - 16:30 / Salı 08:40 - 09:30
